"Week","Year","Industry","Revenue","Source"
"Week 22","2020","PETRO&CHEMICALS",581.37393,"CN"
"Week 22","2020","RTMs TOTAL",3799.31261,"CN"
"Week 23","2020","AUTOMOTIVE",42.35646,"CN"
"Week 23","2020","COAL",321.03614,"CN"
"Week 23","2020","FOREST PRODUCTS",450.67685,"CN"
"Week 23","2020","GRAIN & FERTS",1018.40869,"CN"
"Week 23","2020","INTERMODAL",1089.65408,"CN"
"Week 23","2020","METALS&MINERALS",309.43913,"CN"
"Week 23","2020","PETRO&CHEMICALS",695.66524,"CN"
"Week 23","2020","RTMs TOTAL",3927.23661,"CN"
"Week 24","2020","AUTOMOTIVE",48.91453,"CN"
"Week 24","2020","COAL",307.83044,"CN"
"Week 24","2020","FOREST PRODUCTS",466.00077,"CN"
"Week 24","2020","GRAIN & FERTS",1201.47846,"CN"
"Week 24","2020","INTERMODAL",1103.50611,"CN"
"Week 24","2020","METALS&MINERALS",279.6089,"CN"
"Week 24","2020","PETRO&CHEMICALS",693.77612,"CN"
"Week 24","2020","RTMs TOTAL",4101.11532,"CN"
"Week 25","2020","AUTOMOTIVE",47.67628,"CN"
"Week 25","2020","COAL",306.05527,"CN"
"Week 25","2020","FOREST PRODUCTS",440.01459,"CN"
"Week 25","2020","GRAIN & FERTS",993.11622,"CN"
"Week 25","2020","INTERMODAL",1149.42793,"CN"
"Week 25","2020","METALS&MINERALS",301.95038,"CN"
"Week 25","2020","PETRO&CHEMICALS",633.44514,"CN"
"Week 25","2020","RTMs TOTAL",3871.6858,"CN"
"Week 26","2020","AUTOMOTIVE",51.9881,"CN"
"Week 26","2020","COAL",269.4334,"CN"
"Week 26","2020","FOREST PRODUCTS",471.7592,"CN"
"Week 26","2020","GRAIN & FERTS",888.4173,"CN"
"Week 26","2020","INTERMODAL",999.5127,"CN"
"Week 26","2020","METALS&MINERALS",354.1775,"CN"
"Week 26","2020","PETRO&CHEMICALS",700.4009,"CN"
"Week 26","2020","RTMs TOTAL",3735.6892,"CN"
"Week 27","2020","AUTOMOTIVE",61.05078,"CN"
"Week 27","2020","COAL",225.71801,"CN"
"Week 27","2020","FOREST PRODUCTS",441.5938,"CN"
"Week 27","2020","GRAIN & FERTS",1070.39427,"CN"
"Week 27","2020","INTERMODAL",1149.52568,"CN"
"Week 27","2020","METALS&MINERALS",331.23527,"CN"
"Week 27","2020","PETRO&CHEMICALS",636.10041,"CN"
"Week 27","2020","RTMs TOTAL",3915.61823,"CN"
"Week 28","2020","AUTOMOTIVE",60.58222,"CN"
"Week 28","2020","COAL",331.82045,"CN"
"Week 28","2020","FOREST PRODUCTS",451.4096,"CN"
"Week 28","2020","GRAIN & FERTS",957.0869,"CN"
"Week 28","2020","INTERMODAL",1203.98755,"CN"
"Week 28","2020","METALS&MINERALS",364.14776,"CN"
"Week 28","2020","PETRO&CHEMICALS",690.76706,"CN"
"Week 28","2020","RTMs TOTAL",4059.80154,"CN"
"Week 29","2020","AUTOMOTIVE",64.42214,"CN"
"Week 29","2020","COAL",305.97361,"CN"
"Week 29","2020","FOREST PRODUCTS",460.18095,"CN"
"Week 29","2020","GRAIN & FERTS",1083.88424,"CN"
"Week 29","2020","INTERMODAL",1213.25075,"CN"
"Week 29","2020","METALS&MINERALS",352.66123,"CN"
"Week 29","2020","PETRO&CHEMICALS",720.59632,"CN"
"Week 29","2020","RTMs TOTAL",4200.96925,"CN"
"Week 30","2020","AUTOMOTIVE",54.67935,"CN"
"Week 30","2020","COAL",265.18886,"CN"
