year,week_no,geo_zone,card_present,indexed_volume_current,yoy_vol_Growth,yoy_txn_Growth,ats_current,ATS_prior,ATS_YOY_Growth
2019,31,CANADA,CNP,1.0758271621824906,0.09512027571132518,0.13389329209740772,236.92661357745916,242.60034066214152,-0.02338713568660605
2019,52,CANADA,CNP,1.1738289748085018,0.022141784407727176,0.053032203860011645,254.14645409720939,260.71331202606706,-0.02518804228991995
2019,2,CANADA,CNP,0.9846391071864273,0.0801263877958249,0.10075303391863764,241.56995761920672,241.7540213482026,-0.0007613678067045279
2022,35,CANADA,CNP,1.629885913992561,0.07143625420236152,0.01941154374853959,274.9187206768168,267.4766983892466,0.027823067700425058
2021,2,CANADA,CNP,1.1392136745278887,0.09114755823874042,0.05898671296003987,239.6674756857835,233.87874941493124,0.02475097154116518
2020,2,CANADA,CNP,1.031794100876455,0.034838435854261884,0.07106216397695972,233.8787494149313,241.5699576192067,-0.0318384300766375
2022,16,CANADA,CNP,1.5102245680308555,0.05864651091563254,-0.05109644488409993,268.22352145670857,253.40282128110294,0.05848672126331551
2019,13,CANADA,CNP,1.335179802519805,0.10021512648855288,0.12442893685099676,270.58307536452,269.18480091654044,0.005194477709063214
2018,50,CANADA,CNP,1.0956157677600724,0.1380561962204411,0.15412396701697528,258.98269057443116,258.2825617905389,0.0027107086867909705
2021,50,CANADA,CNP,1.3347450408202495,-0.001809421051275017,-0.11183713050648829,272.53241521410695,241.63679856003344,0.1278597334436942
2019,5,CANADA,CNP,1.0141895792441213,0.1043579943001489,0.1243587930340065,242.8203486095711,241.69225513882853,0.004667478774173401
2022,2,CANADA,CNP,1.2419848687942763,0.08370341466024712,0.003651759704444711,248.6067760608683,239.66747568578342,0.03729876300280633
2022,49,CANADA,CNP,1.3041190539093428,0.07707497304982078,0.09298052817456076,237.21398290298774,251.05143921839885,-0.05511801230254413
2019,39,CANADA,CNP,1.2822079203051935,0.002337654078858816,0.06523574820785848,263.12904257106004,277.0910159936727,-0.050387679920057396
2019,43,CANADA,CNP,1.2941938071352717,0.010827726046182115,0.044590040292539775,240.31885038495528,250.8511927415455,-0.041986415298578224
